id	user	icon	portrait	English	Japanese
			adventureUI/megatomeItem	We resolved to go get The Megatome & then get out alive.	
LOGFELLA_BEFOREWALL	The Scythian		AdventureUI/keyItem	The woodsman confirmed 100% that he had the only key to the locked door in the stone wall.	
			AdventureUI/keyItem	It was a really nice-looking key.	
				We were totally ready to just press & hold on the path ahead to move it move it move it.	
LOGFELLA_POSTTONGUE	The Scythian		adventureUI/megatomeItem	The woodsman known as Logfella was just going to wait here for us to return with The Megatome.	
LOGFELLA_HINT_SITTINGDOWN	The Scythian	AdventureUI/tweetIconBabelBook		The woodsman known as Logfella had chosen to chill out beneath a stone shelter near The Perilous Precipice.	
				Logfella seemed to know all about the loathsome rainbow & the nearby glyph depicting the skyward sword.	
				"And yet Logfella offered zero help about what to do next, which kinda rubbed us the wrong way if we're being totally honest."	
LOGFELLA_WOLF_HINT	The Scythian	AdventureUI/tweetIconBabelBook		The woodsman had seen some kind of creepy monster thing & he figured he'd just let us handle it.	
LOGFELLA_DOWNSLOPE	The Scythian		adventureUI/megatomeItem	We had retrieved The Megatome & Logfella was 100% ready to move it move it to the safety of his lodgings.	
				We sensed a gathering thunderstorm & yet a little song began in our heart.	
LOGFELLA_CABINMEGATOME	The Scythian	AdventureUI/tweetIconBabelBook		In the light of the gathering storm Logfella admitted he had a serious case of the heebie jeebies right about now.	
				Was Logfella intentionally freaking us out? #yes #no #maybe	
				In any case it was probably totally safe to just take shelter for a bit.	
QUESTCOMPLETE_MEGATOME			adventureUI/megatomeItem	We got The Megatome & we are the smartest. #gotmegatome	
GIRL_AVATAR			AdventureUI/dudeDaughterIdle1		
ARCHETYPE_AVATAR			AdventureUI/dudeArchetypeIdle1		
ARCHETYPE_TUTORIAL	The Archetype	AdventureUI/tweetIconInfo			
	The Archetype			"Ladies & the gentlemen, how's about you press these two little sylvan sprites so I can get a feel for your stereo sound system?"	
	The Archetype			"Since our prior experiment in 2011, social networks have proven to be catastrophic for society."	
				This time we encourage isolation & regretful reflection.	
				We are profoundly grateful that you have chosen to participate in this experimental treatment for acute soul-sickness.	
				You'll find this first S:S&S EP session to be fairly straightforward. It typically only requires 15 - 30 minutes to complete.	
				Ready to begin? Press play & let's go.	
ARCHETYPE_FOUNDATION	The Archetype			"S:S&S EP does not produce the transcendent experience, it is merely intended to free the nervous system of ordinary patterns."	
				"The second aspect of ""Setting"" is the cultural - prevailing notions of reality & normalcy. We will avoid this discussion for now."	
				"Setting includes the comfort, security & warmth of the room or outdoor environment where the experience will occur."	
				"We have found that a relaxed, curious individual is more likely to have a pleasant experience with S:S&S EP."	
				"Set refers to the mental state & personality structure you bring to the experience - thoughts, moods and/or expectations."	
				Let's talk about the set & setting for a positive experience with the highly psychoactive Superbrothers: Sword & Sworcery EP.	
				"The expanded consciousness, the untapped & limitless potential of the mind, is what we at Superbrothers refer to as ""sworcery""."	
				The song of sworcery can be understood as a psionics technique & it allows you to perceive a reality within the one that you know.	
				"To stop the song of sworcery at any time, simply double click the sworcery aura that surrounds The Scythian."	
				"Once you have begun to sing a song of sworcery, press & hold on the sworcery aura & swipe to look around."	
				"To sing a song of sworcery at any time, press & hold upon The Scythian for a moment or two & observe the gathering sworcery aura."	
				"As you can see, The Megatome gathers & collects linguistic thought transmissions. Scroll down to see what I was thinking before."	
ARCHETYPE_MEGATOMETUTORIAL	The Scythian		adventureUI/megatomeItem	"""Very nicely done - you've learned the Song of Sworcery & now the unfathomable power of The Megatome is yours."""	
			adventureUI/megatomeItem	"""The Megatome intercepts linguistic thought-transmissions & it contains everything you'll need to complete your woeful errand."""	
			adventureUI/megatomeItem	"""I'm thinking about something right this moment... why not open The Megatome & look for me to find out what's on my mind?"""	
				"""Look for a white triangle in the top-right... press it & then equip The Megatome to reveal what is hidden."""	
LOGFELLA_STORM	The Scythian			The woodsman known as Logfella had given up on his wood-chopping due to the sinister storm. #wetboots	
			adventureUI/megatomeItem	Logfella reminded us of how the storm rolled in pretty much right after we had retrieved The Megatome from beneath Mingi Taw.	
				Was Logfella not-so-subtly suggesting that maybe we oughta try to do something to lift the storm? #yes #no #maybe	
GIRL_STORM	The Scythian			The dark haired girl known as Samae was feeling the woe. 	
			gourd/gourd	Ever since the storm began Samae had seen the sonorous spumes of sylvan sprites who slumbered in the woods nearby.	
			gourd/gourd	She wondered if maybe the three sylvan sprites could help lift the storm? #yes	
			gourd/gourd	She asked us to investigate the sonorous spume bubbling up out of the deepwater pond outside the hut.	
			gourd/gourd	Samae spoke of a sprite in a meadow nearby & yet another sprite in a nestbox that was home to three rain-soaked songbirds.	
			gourd/gourd	Samae told us to seek the sonorous spumes of these three sylvan sprites & send them skyward with the song of sworcery.	
ARCHETYPE_SWORCERY	The Archetype			"""It is time to learn the Song of Sworcery - a consciousness expansion technique that reveals a mystical musical dimension."""	
			gourd/gourd	"""Keep calm & follow my directions to summon the sylvan sprite that softly slumbers in the cool waters of the deepwater pond."""	
ARCHETYPE_TADPOLES	The Archetype			It was 100% obvious that the strangely-attired man expected us to do something or other but we had no idea what.	
			gourd/gourd	"""Do you see the sonorous spume in the deepwater pond? A sylvan sprite softly slumbers there & you must summon it."""	
			gourd/gourd	"""Sing a Song of Sworcery at any time by touching & holding on The Scythian to access a reality within the one you know."""	
			gourd/gourd	"""Guide the two tiny swimming things to where the sprite slumbers & then send the sprite skyward with three touches of sworcery."""	
GIRL_LOSTKEY	The Scythian			Samae stood sheltered from the rain beneath the broad wooden roof of the well.	
				She had left the comfort of the hearth in the hut because apparently Logfella was freaking out about something or other.	
INFO_BIRDEYESCULPTURE	The Scythian			We spied an angry bird sculpture looming above the meadow. #subtlereference	
INFO_MEADOWSHEEP	The Scythian			We spied a few worthless sheep lazing around in the meadow. #worthlesssheep	
INFO_CABINSHEEP	The Scythian			Another worthless sheep - why do we keeping looking at it? #worthlesssheep	
INFO_MEADOWSUN	The Scythian			We can vividly remember how awesome the sun looked on that particular early spring day.	
INFO_MEADOWGATE	The Scythian			In the meadow there was an immovable iron gate blocking a cavernous cave.	
INFO_MEADOWGATEACTIVE	The Scythian			In the meadow there was an iron gate & we had a feeling we could maybe lift it somehow.	
INFO_MEADOWGATETRIGONACTIVE	The Scythian			We spied a Gold Trigon thingamajig above the iron gate - maybe it would react to our Song of Sworcery?	
INFO_MEADOWGATETRIGON	The Scythian			We spied a thingamajig above the iron gate.	
INFO_LOCKEDDOORSTONEWALL	The Scythian			The locked door in the stone wall blocks the old road to Mingi Taw & apparently the key is lost in dreams.	
INFO_LOOMINGBIRDSCULPTURES	The Scythian			We spied an angry bird sculpture looming above the meadow. #subtlereference	
INFO_MEADOWSUNSTICK	The Scythian			We spied an oddly shaped stick overlooking the meadow.	
INFO_CABINWELL	The Scythian			We spied a solidly-built water well with a broad wooden roof.	
INFO_UNWELLWELL	The Scythian			The well seemed unwell. #unwell #well	
INFO_WELLNESS	The Scythian			All's well that ends well. #unwell #well #wellness	
INFO_WELLWHITESTAG	The Scythian			LONG LIVE THE NEW FLESH	
ARCHETYPE_UNWELLWELLOUTRO	The Archetype				
INFO_CABINCHIMNEY	The Scythian			We spied a sturdy stone hut with a roof of thatch that stood beside a deepwater pond.	
INFO_CABINWOODPILE	The Scythian			"We spied a pile of chopped fire-wood, no big deal."	
INFO_SPUME	The Scythian			We located the subtle sonorous spume of a slumbering sylvan sprite. Now... how to summon it?	
INFO_NESTBOX	The Scythian			"We spied a curious-looking nestbox, now home to a wretched hive."	
INFO_NESTBOXWEATHERED	The Scythian			We spied a weathered-looking nestbox that looked kind of like a face in a creepy way.	
INFO_FLAGPOLELOGBRIDGE	The Scythian			Astride a logbridge on the old road stood a grim flagpole adorned with blocky-looking skulls.	
INFO_GOLDTRIGONALTAR	The Scythian			Beyond the cavernous cave in the meadow we came upon a secluded grove with a collection of strange stone structures.	
			Archetype/trifecta	... Was this The Trigon Grove? #trigongrove	
			triangle/Triangle	As we stood beside the first stone structure we thought of The Gold Trigon & we felt our sword stir.	
INFO_DARKTRIGONALTAR	The Scythian			In the Trigon Grove there was another stone structure that was worn & weathered. #darkmoontrigon	
				We wondered what would happen if we struck the stone structure with our sword.	
INFO_BRIGHTTRIGONALTAR	The Scythian			In the Trigon Grove there was another stone structure with a circular glyph that referred to The Bright Moon. #brightmoontrigon	
				We wondered what would happen if we struck the stone structure with our sword.	
INFO_STONEHEAD	The Scythian			At The Perilous Precipice was a huge rock-hewn sculpture of a familiar-looking head with mouth agape.	
INFO_STONEHEADSHUT	The Scythian			At The Perilous Precipice was a huge rock-hewn sculpture of a familiar-looking head.	
INFO_STONEHEADFLAGPOLE	The Scythian			Atop a huge rock-hewn sculpture stood a grim flagpole creepily adorned with blocky-looking skulls or something like that.	
INFO_CHASMSTONESHELTER	The Scythian			To one side of The Perilous Precipice stood a wondrous dolmen-thing that sheltered two comfortable-looking stone seats.	
INFO_SKULLPOLE	The Scythian			Astride a rickety bridge stood a grim pole creepily adorned with an antlered skull.	
INFO_TRIFECTASYMBOL	The Scythian			Above the rock-cut entrance to a mountain temple we spied a pictographic representation of The Trigon Trifecta.	
INFO_MOUNTAINGATE	The Scythian			Deep within the mountain temple we spied an immovable iron gate & beyond we could see the clouded mountainscape of Mingi Taw.	
INFO_MOUNTAINGATETRIGON	The Scythian			Deep within the mountain temple above a tall passageway we spied three strange triangular shapes.	
INFO_MOUNTAINGATETRIGONACTIVE	The Scythian			Deep within the mountain temple above a tall passageway we spied the icon of The Trigon Trifecta.	
INFO_CABINRECORD	The Scythian			Inside the hut we spied a little round something-or-other above the hearth. #theballadofthespacebabies	
INFO_CABINHEARTH	The Scythian			Inside the hut the hearth was quietly crackling with familiar warmth.	
INFO_CABINSEAT	The Scythian			Inside the hut on either side of the hearth there were two rough wooden seats.	
INFO_GOGOLITHICMASS	The Scythian			We spied an antlered skull floating in the darkness beneath Mingi Taw.	
INFO_MEGATOMBTRIFECTA	The Scythian			We spied a pictographic representation of The Trigon Trifecta in the darkness beneath Mingi Taw.	
INFO_ROCKSHOWGIRL	The Scythian			At a rock show we spied Samae & we thought maybe she said fire walk with me.	
INFO_ROCKSHOWSKOLOTOI	The Scythian			At the rock show we spied one of those skeleton dudes chilling to the ominous beat.	
INFO_ROCKSHOWJIM	The Scythian			Headlining the rock show was none other than the mysterious musical fellow known as Jim Guthrie.	
INFO_ROCKSHOWBOOR	The Scythian			At the rock show we spied The Grizzled Boor rocking his nudist thing.	
INFO_ROCKSHOWCROWD	The Scythian			At the rock show there was a sizeable crowd of ladies & gentlemen.	
INFO_ROCKSHOWARCHETYPE	The Scythian			At the rock show we spied the fellow known as The Archetype & we were left wondering what he was up to with all of this.	
INFO_TRIGONGROVESKULLSTICK	The Scythian			A grim pole adorned with an antlered skull connects this location to the deathless spectre who lurks beneath Mingi Taw.	
GRAVE_TRIGONGROVE	The Scythian			In The Trigon Grove beyond the cavernous cave in the meadow we spied a solitary grave & we got a little bit curious about it.	
GRAVE_TRIGONGROVEGHOST	The Scythian			In The Trigon Grove beyond the cavernous cave in the meadow we approached a solitary grave & were met by a glowing ghost dude.	
				The glowing ghost dude in The Trigon Grove totally freaked us out at first to be honest.	
			adventureUI/megatomeItem	He recognized our Scythian garb & he saw that we carried The Megatome. He wondered if we understood the esoteric markings inside.	
				In a whisper he spoke the name of the deathless spectre we had awoken in the darkness beneath Mingi Taw: The Gogolithic Mass.	
				We knew the dreadful name from the old stories & we felt our blood run cold.	
				Up until now I had the feeling that The Gogolithic Mass saw you as a bit of a tourist.	
			triangle/Triangle	Now that you've learned the Song of Sworcery & tamed The Gold Trigon you will find your every step is haunted.	
				We couldn't tell if the glowing ghost dude was cheering us on or psyching us out or what.	
				We told the ghost dude of our intention to detonate The Megatome atop Mingi Taw & release The Gogolithic Mass from immortality.	
			Archetype/trifecta	We asked about The Trigon Trifecta & the locations of the remaining two Trigons but his response was irritatingly obtuse.	
				The remaining two Trigons exist only in the dreams of the mountain folk.	
				Locating the remaining two Trigons is not so much a question of where as it is when & how.	
				The glowing ghost dude sure did talk a lot of unhelpful nonsense.	
GRAVE_LOGBRIDGE	The Scythian			We spied a collection of graves in a thicket to the side of the old road & we wondered what was up with that.	
GRAVE_LOGBRIDGEGHOST	The Scythian			We approached a collection of graves in a thicket to the side of the old road & we met a few ghosts who seemed friendly.	
				The glowing ghost who spoke was a giant we knew from the old stories whose famous portrait demanded obediance. #andre	
			Archetype/trifecta	Last year before the yuletide I assembled a posse & we set out to re-assemble The Trigon Trifecta.	
				We had heard about the gateway to the infinite at the summit of Mingi Taw & we thought it sounded like something cool to see.	
			triangle/Triangle	So anyways we tamed The Gold Trigon & scoped out The Trigon Grove before setting out to locate The Bright Moon Trigon.	
				Locating The Bright Moon Trigon didn't go so well...we got totally lost to be honest.	
				Slowly we realized the significance of the lunar cycle & its influence on the sprites who slumber in the twilit realms.	
				That's when we sat here & began to monitor the moods of the moon so we might learn when to be where and how.	
				We died of boredom waiting around for the moods of the moon to change.	
				Ok actually we died because of an argument we had because of boredom.	
				I don't really want to go into it right now if you don't mind.	
				Ok so what happened was that one of our posse was a cheating cheater & we caught him red-handed.	
				A fight broke out & the cheating cheater fled up the old road towards The Perilous Precipice.	
				So then we were just hanging out wondering what to do... when all of a sudden The Gogolithic Mass showed up... yikes!	
GRAVE_CHASM	The Scythian			We spied the solitary grave at the edge of The Perilous Precipice & we wondered what was up with that.	
GRAVE_CHASMGHOST	The Scythian			At The Perilous Precipice we approached the solitary grave of the cheating cheater & met an old glowing ghost dude.	
			Archetype/trifecta	Last year before the yuletide Andre The Giant assembled a posse & we set out to re-assemble The Trigon Trifecta.	
				The other dudes in the posse are buried in a thicket to the side of the old road near the log bridge.	
			triangle/Triangle	We managed to locate & tame The Gold Trigon pretty easily but we got totally stuck after that.	
				"We sought The Bright Moon Trigon so we decided to sit around & watch the sky, waiting for the moods of the moon to change."	
				It was super boring! I wasn't just going to wait around for days & days until The Bright Moon loomed overhead.	
				I left those jive suckers to wander aimlessly while I dug deeper into this moon-logic trickery.	
				The old glowing ghost spoke of how he had cheated by quitting out of S:S&S EP and then altering his device's date & time settings.	
				"The ghost described how awkward this process was, but he told us that it allowed him to affect the phases of the moon!"	
				The thing is I've had a serious case of the heebie jeebies pretty much ever since I cheated & that's why I died of shame.	
GRAVE_HOLLOW	The Scythian			Inside a titanic hollow tree we spied a solitary grave & we got a little bit curious about it.	
GRAVE_HOLLOWGHOST	The Scythian			Inside a titanic hollow tree we approached a solitary grave & a badass ghost showed up to sing us a mad rhyme.	
				Monitor the moods of the moon & you'll learn when to be where and how.	
				Also I just want you to know that I am not deliberately trying to spook you by looking so awesome like I do.	
GRAVE_HOLLOWGHOSTSPRITES	The Scythian			Inside a titanic hollow tree we approached a solitary grave & a badass ghost showed up to sing us a mad rhyme.	
				Seek the sylvan sprites on the path behind you with eyes & ears open for their sonorous spumes.	
				Send all five sylvan sprites skyward to enact a miracle that will attract the Trigon you seek.	
GRAVE_HOLLOWGHOSTTRIGON	The Scythian			Inside a titanic hollow tree we approached a solitary grave & a badass ghost showed up and told us some things.	
				Look for a signal from the sylvan sprites & sing a Song of Sworcery there to reveal a hidden Trigon.	
GRAVE_HOLLOWGHOSTTRIGONCOMPLETE	The Scythian			Inside a titanic hollow tree we were approaching a solitary grave when a badass ghost showed up and told us some things.	
				So The Trigon Song has ended for now. When will I ever hear it again I wonder?	
LOGFELLA_LOSTKEY	The Scythian			The woeful woodsman known as Logfella was totally freaking out about something.	
			AdventureUI/keyItem	Apparently Logfella had lost the key to the locked door in the stone wall that blocked the old road to Mingi Taw.	
				We were like groan not another fetch quest amirite?	
				Logfella told us he had been sitting right there by the fire when he had fallen into a deep sleep.	
			AdventureUI/keyItem	Logfella said he thought he had lost his key in the twilight realm of dreams.	
				We had heard about the strange dreams of the dark-haired mountain folk of The Caucasus so this made perfect sense to us.	
				Logfella invited us to warm our boots by the fire & dream along with him.	
ARCHETYPE_LOSTKEYTHOUGHTS	The Archetype			"We think of wakefulness & the mythopoetic psychocosmology of dreams as separate states, however they interoperate in curious ways."	
				The threshold of liminality is a space in-between wakefulness & dreams where directed thought is impossible.	
				Seek a warm hearth & allow sleep to come to discover the threshold of liminality.	
ARCHETYPE_LOSTKEYCLUE	The Archetype		AdventureUI/keyItem	How's about you go sit down beside the hearth in the hut & cross the liminal threshold to find Logfella's lost key?	
GIRL_LOSTKEYTHOUGHTS	Girl	AdventureUI/tweetIconGourd		"Whoa, Logfella is freaking out about something... I wonder what's up? I'll just head outside & leave him be for a bit."	
				I've seen The Scythian sing a Song of Sworcery & send three sylvan sprites skyward - I wonder if they will help soothe the storm?	
LOGFELLA_MORELOSTKEYTHOUGHTS	Logfella			I sure hope the dream-walking Scythian can find my lost key... I lost it on the sandy shore of a placid lake.	
LOGFELLA_LOSTKEYTHOUGHTS	Logfella			"Oh woe, I wish it wasn't raining outside... I wish my boots weren't so wet... I wish I could go back to my wood-chopping."	
				Oh nuts - where has my key gone!? I'm so upset & ashamed so now I'm totally freaking out!	
LOGFELLA_FOUNDKEY	The Scythian		AdventureUI/keyItem	The woodsman was super relieved that we had managed to retrieve his lost key from the twilight realm of dreams.	
				The woodsman known as Logfella wondered how we got so smart & he asked about our woeful errand.	
				We told the woodsman how we had come of age on the steppes alongside our fearless Scythian sisters & brothers.	
				We told Logfella why we wandered here in this mountain wilderness & how we were guided by the finger of an all-knowing God.	
			adventureUI/megatomeItem	We told Logfella about what we suspected the esoteric markings inside The Megatome might signify.	
			gourd/gourd	We had a hunch that we needed to summon a few more sylvan sprites to soothe the storm.	
			triangle/Triangle	In a hushed whisper we spoke of our intention to locate & tame a manifestation of cosmic geometry known as The Gold Trigon.	
				It was 100% clear that the woodsman known as Logfella had stopped paying attention.	
			AdventureUI/keyItem	We figured we could just hang on to the key & go for a walk on the old road beyond the stone wall.	
LOGFELLA_FOUNDKEYWAKEUP	The Scythian		AdventureUI/keyItem	We asked the woodsman if it'd be ok for us to hang on to his key & he said that'd be totally cool.	
GIRL_FOUNDKEY	The Scythian			We met Samae standing rain-soaked on a sidepath.	
			gourd/gourd	She had heard the subtle sonorous spumes of the sylvan sprites from beyond the stone wall on the old road to Mingi Taw.	
			gourd/gourd	She spoke of towering tree trunks on either side of a mighty river.	
			gourd/gourd	She spoke of faint rainbows at the edge of The Perilous Precipice.	
			adventureUI/megatomeItem	...and then she grew fearful & told us to consult The Megatome if we became lost or confused.	
LOGFELLA_FOUNDKEYTHOUGHTS	Logfella			I'm totally cool with The Scythian hanging on to the key if it means she's going to soothe the storm.	
				I must've nodded off at some point during The Scythian's super epic story. I have a really low tolerance for lore.	
				I asked The Scythian point-blank about her woeful errand... she started talking about the steppes & the finger of God.	
GIRL_FOUNDKEYTHOUGHTS	Girl			One or two more sylvan sprites sent skyward will soothe the ceaseless storm... and then it will be a time of miracles! #miracles	
GIRL_SUPERMOTHERTREE	Girl			In my dream-walking there is a thrilling stillness when the moon is brightest... and when the moon is darkest the woods are wild.	
				In the dream it's always the same places & spaces except for when it differs according to the moods of the moon.	
				Every night since the storm lifted I've had that same dream where I'm wandering in the woods in the hour before dawn.	
ARCHETYPE_TREEHINT	The Archetype			Remember that ingesting forest fungi may offer some oblique insight on cryptozoological phenomena & such.	
				Seek the sonorous spumes of the sylvan sprites & investigate their surroundings.	
				Once you have begun a song of sworcery you can ever-so-gently touch the edge of the screen to look around (or use the arrow keys).	
ARCHETYPE_TREEHINT_NINSWITCH	The Archetype			Remember that ingesting forest fungi may offer some oblique insight on cryptozoological phenomena & such.	
				Seek the sonorous spumes of the sylvan sprites & investigate their surroundings.	
				Once you have begun a song of sworcery you may want to look around and take in your surroundings.	
ARCHETYPE_MUSHROOMHINT	The Archetype			It has even been asserted that divinatory mushrooms may have played a significant role in the development of the human psyche.	
				"Archaelogical evidence indicates that the shamanic use of fungi for religious communion, divination and healing is quite ancient."	
				"Physiologically you may notice feelings of well-being & heightened perceptions, a dissipation of stress & a loss of apetite."	
				Forest fungi may offer some oblique insight on the whereabouts of a sylvan sprite & their peculiar triggers.	
ARCHETYPE_TRIGONGROVE	The Archetype			Can you feel it? Are you beginning to understand? Do the esoteric markings & shapes inside The Megatome hold new meaning?	
				"This beam bridges the world of the living & the world of the dead, so you may find a ghost or two to talk to on your travels."	
				I've just been notified that you have activated the first skyward beam in the Trigon Grove.	
GIRL_CABINSHEEP	The Scythian			We asked Samae about the worthless sheep hanging out around the hut & she said they had taken fright a little while ago.	
			gourd/gourd	We told Samae we had sent five sylvan sprites skyward & she told us that perhaps a time of miracles was at hand.	
				We thought that maybe we oughta go investigate the meadow where the sheep used to be.	
LOGFELLA_CABINSHEEP	The Scythian			Logfella had the feeling that it was a time of miracles & he wondered if maybe something awesome was about to happen.	
GIRL_CABINSHEEPTHOUGHTS	Girl			What in the... the rain has stopped! Is the storm starting to lift? I sure hope so.	
				This whole storm thing has really been getting me down. It has been so gloomy.	
LOGFELLA_CABINSHEEPTHOUGHTS	Logfella			Hmm.... I'm getting a case of the heebie-jeebies... something's definitely happening... is the storm starting to lift?	
				Y'know whenever I feel like I need to gather my strength I just sit down beside this here hearth to warm my boots.	
DOGFELLA_CABINSHEEPTHOUGHTS	Dogfella			Bark Bark Bark Bark Bark Bark Bark Bark. #stillbarking #miracles	
ARCHETYPE_MEADOWHINT	The Archetype			Once the sun is in alignment you'll be granted the miraculous fold-in abilities of the great wizard Al Jaffee.	
				Are you feeling that peculiar vibe? It is a time of miracles! Sing a Song of Sworcery & look up to the looming angry birds.	
ARCHETYPE_MEADOWHINTTWO	The Archetype			Look to the heavens for some oblique insight into the workings of this miracle in the meadow & then behold The Gold Trigon.	
ARCHETYPE_SIDE_B	The Archetype	AdventureUI/tweetIconInfo		Hmm... interesting the way you handled that encounter with the bear-headed cannibal fellow.	
				"No no, it's fine, it's just interesting. I've never seen anyone do what you did. It's exceptional, but don't be alarmed."	
				"Well, carry on. There's ever-so-much-more of the S:S&S EP experience for you to enjoy, particularly on Side B."	
ARCHETYPE_GOLDTRIGONHINTONE	The Archetype			To tame The Gold Trigon you must learn to survive the three movements of its bizarre song using a mixture of attack & defense.	
				It is absolutely essential that you touch & hold the shield button whenever you can in order to recover your lost strength.	
				So I see you've summoned & attempted to tame The Gold Trigon? I have a few things to tell you that I think you'll find useful.	
ARCHETYPE_GOLDTRIGONHINTTWO	The Archetype			Swing at the Trigon's psionic projectile attacks with your sword & wait for opportunities to dodge any incoming beam attacks.	
				The Gold Trigon's inscrutable & unguessable logic has claimed the souls of all who came before... they lacked tenacity & courage.	
ARCHETYPE_GOLDTRIGONHINTTHREE	The Archetype			"The Gold Trigon must be tamed, there is no other option."	
				In the third pattern you must swing at the small triangle projectiles with your sword & evade incoming beam attacks.	
				In the second pattern you must wait for an incoming beam attack & press the shield button to evade when the time is right.	
				In the first pattern you must swing your sword to return the ball of energy.	
ARCHETYPE_BRIGHTTRIGONHINTONE	The Archetype			You may have noticed The Bright Moon Trigon delivers death from above... so wait for the right time & press your shield to evade.	
ARCHETYPE_BRIGHTTRIGONHINTTWO	The Archetype			The Bright Moon Trigon's final patten will require you to swing your sword at projectiles & evade charged beam attacks.	
ARCHETYPE_DARKTRIGONHINTONE	The Archetype			You may have encountered The Dark Moon Trigon's loathsome rainbow attack - slice at that rainbow as hard & as fast as you can.	
ARCHETYPE_DARKTRIGONHINTTWO	The Archetype			The Dark Moon Trigon's final pattern involves sneakily subtle triangular projectiles - smash them & you'll survive.	
ARCHETYPE_MEGATOMEOUTRO	The Archetype	AdventureUI/tweetIconBabelBook		So you've awoken the deathless spectre who slumbered in the darkness beneath Mingi Taw - yikes!	
				"Consequently, a sinister thunderstorm looms & the lovely people who live in the stone hut are a little heartbroken."	
			adventureUI/megatomeItem	The upshot is that you got the burdensome book known as The Megatome - in our next session we'll discuss its strange purpose.	
				Our research shows that prolonged exposure to the mythopoetic psychocosmology of S:S&S EP can have adverse side effects.	
				So now that you've completed session I how's about we take a little break? I'll be right here when you're ready for session II.	
ARCHETYPE_GOLDMASTERINTRO	The Archetype	AdventureUI/tweetIconBabelBook			
				It's lovely to see you again. Are you ready to begin session II of S:S&S EP?	
			adventureUI/megatomeItem	"Ok, so where were we? Oh right, now I remember. You got a burdensome book known as The Megatome."	
				"You woke the deathless spectre who still lurks in the darkness beneath Mingi Taw. What a creep, amirite?"	
				It is a time of woe - a sinister thunderstorm has clouded the skies & the lovely people who live in the hut are miserable.	
				"Silencing the storm will require some familiarity with psionics, cryptozoology & miracles..."	
			adventureUI/megatomeItem	"1. A sworcerer's touch will unseal The Megatome, revealing the unspoken thoughts of living creatures & other esoteric material."	
