id	user	icon	portrait	English	Japanese	Final Notes	pic	Filenames	Codes					
			gourd/gourd	"«Пойте Песнь Чаробейства в любое время, кликнув на Скифку и удерживая кнопку, чтобы попасть в иную реальность внутри той, что вам известна»."										
			gourd/gourd	"«Проведи двух маленьких водоплавающих туда, где дремлет дух, а потом отправь его ввысь, с помощью трёх прикосновений чаробейства»."			49	013.jpg	61D3A					
GIRL_LOSTKEY	The Scythian			"Девушка стояла, прячась от дождя под широкой деревянной крышей колодца."										
				"Она покинула уютное место у очага в хижине, очевидно, потому что Дровосек сильно из-за чего-то волновался."										
INFO_BIRDEYESCULPTURE	The Scythian			Мы заметили нависающую над лугом статую злой птицы. #subtlereference			6	014.jpg	F1D48					
INFO_MEADOWSHEEP	The Scythian			"Мы заметили нескольких никчёмных овец, лениво прогуливающихся на лугу. #worthlesssheep"										
INFO_CABINSHEEP	The Scythian			Ещё одна никчёмная овца — и зачем мы только на неё смотрим? #worthlesssheep										
INFO_MEADOWSUN	The Scythian			"Мы ясно помним, каким прекрасным было солнце в тот самый день, ранней весной."										
INFO_MEADOWGATE	The Scythian			"На лужайке находились запертые железные врата, блокирующие вход в глубокую пещеру."										
INFO_MEADOWGATEACTIVE	The Scythian			"На лугу стояли железные врата, и у нас было чувство, что мы можем их как-то открыть."										
INFO_MEADOWGATETRIGONACTIVE	The Scythian			Над железными воротами мы заметили маленький Золотой Треугольник. Сможет ли наша Песнь Чаробейства воздействовать на него?										
INFO_MEADOWGATETRIGON	The Scythian			Над железными воротами мы заметили какую-то штуковину.										
INFO_LOCKEDDOORSTONEWALL	The Scythian			"Закрытая дверь в каменной стене блокирует старую дорогу к Минги Тау. По всей видимости, ключ потерян во снах."										
INFO_LOOMINGBIRDSCULPTURES	The Scythian			"Мы заметили статую злой птицы, которая угрожающе возвышается над лужайкой. #subtlereference"										
INFO_MEADOWSUNSTICK	The Scythian			"Мы заметили странной формы шест, который как бы наблюдает за лужайкой."										
INFO_CABINWELL	The Scythian			Мы увидели прочно построенный колодец с широкой деревянной крышей.										
INFO_UNWELLWELL	The Scythian			С колодцем как будто что-то не так. #unwell #well										
INFO_WELLNESS	The Scythian			"Но всё хорошо, что хорошо кончается. #unwell #well #wellness"										
INFO_WELLWHITESTAG	The Scythian			ДА ЗДРАВСТВУЕТ НОВАЯ ПЛОТЬ										
ARCHETYPE_UNWELLWELLOUTRO	The Archetype													
INFO_CABINCHIMNEY	The Scythian			"Мы увидели крепко построенную каменную хижину с соломенной крышей, которая стояла рядом с глубоким прудом."										
INFO_CABINWOODPILE	The Scythian			Мы увидели груду колотых дров. Ничего особенного.										
INFO_SPUME	The Scythian			Мы обнаружили тихонько звенящие пузырьки дремлющего лесного духа. И... как же нам его вызвать?										
INFO_NESTBOX	The Scythian			"Мы заметили примечательный скворечник, который теперь является домом для несчастного улья."			13	015.jpg	B1C5F					
INFO_NESTBOXWEATHERED	The Scythian			"Мы заметили потрёпанный погодой скворечник, который напоминал страшное лицо."										
INFO_FLAGPOLELOGBRIDGE	The Scythian			"У ствола дерева, служившего мостом, стоял жуткий флагшток, украшенный квадратными черепами."										
INFO_GOLDTRIGONALTAR	The Scythian			"На лугу за глубокой пещерой мы наткнулись на уединённую рощу, посреди которой находилось несколько странных каменных сооружений."										
			Archetype/trifecta	...это и была Треугольная роща? #trigongrove			93	016.jpg	B1D6J					
			triangle/Triangle	"Когда мы подошли к первому каменному сооружению, то подумали о Золотом Треугольнике и почувствовали как дёрнулся наш меч. "										
INFO_DARKTRIGONALTAR	The Scythian			"В Треугольной роще находилось ещё одно каменное сооружение, изрядно потрёпанное погодой и временем. #darkmoontrigon"										
				"Мы подумали — а что произойдёт, если мы ударим нашим мечом по этому каменному сооружению."										
INFO_BRIGHTTRIGONALTAR	The Scythian			"В Треугольной роще находилось ещё одно каменное сооружение с круглым символом, который имел отношение к Полнолунию. #brightmoontrigon"										
				"Мы подумали — а что произойдёт, если мы ударим нашим мечом по этому каменному сооружению."										
INFO_STONEHEAD	The Scythian			"У гибельной пропасти стояла огромная, высеченная из камня скульптура с разинутым ртом и знакомо выглядящими чертами лица."			24	017.jpg	61B76					
INFO_STONEHEADSHUT	The Scythian			У гибельной пропасти стояла высеченная из камня огромная скульптура со знакомо выглядящими чертами лица.										
INFO_STONEHEADFLAGPOLE	The Scythian			"На верхушке огромной, высеченной из камня, скульптуры стоял мрачный флагшток, увенчанный жуткими квадратными черепами или чем-то типа того."										
INFO_CHASMSTONESHELTER	The Scythian			"На одной стороне гибельной пропасти стоял удивительный дольмен, под которым были укрыты два весьма удобных каменных сиденья."			25	018.jpg	O1C8M					
INFO_SKULLPOLE	The Scythian			"У шаткого мостика стоял жуткий шест, увенчанный рогатым черепом."										
INFO_TRIFECTASYMBOL	The Scythian			Над высеченным в скале входом в горный храм мы заметили пиктографическое изображение Триединого Треугольника.										
INFO_MOUNTAINGATE	The Scythian			"Глубоко внутри горного храма мы заметили закрытые железные ворота, через которые был виден туманный ландшафт Минги Тау."										
INFO_MOUNTAINGATETRIGON	The Scythian			Глубоко внутри горного храма над высоким проходом мы заметили три странных треугольных формы.										
INFO_MOUNTAINGATETRIGONACTIVE	The Scythian			Глубоко внутри горного храма над высоким проходом мы заметили значок Триединого Треугольника.										
INFO_CABINRECORD	The Scythian			"Внутри хижины, над очагом, мы заметили какую-то маленькую круглую штуковину. #theballadofthespacebabies"			46	019.jpg	P1D99					
INFO_CABINHEARTH	The Scythian			"Внутри хижины, тихонько потрескивал очаг, создавая уют и тепло."										
INFO_CABINSEAT	The Scythian			"Внутри хижины, по обе стороны от очага, стояли два грубых деревянных сидения."										
INFO_GOGOLITHICMASS	The Scythian			"Мы заметили рогатый череп, что парил во тьме глубин Минги Тау."										
INFO_MEGATOMBTRIFECTA	The Scythian			Во тьме глубин Минги Тау мы заметили пиктографическое изображение Триединого Треугольника.										
INFO_ROCKSHOWGIRL	The Scythian			"На рок-концерте мы заметили темноволосую девушку и, кажется, она сказала: «Огонь, иди со мной»."										
INFO_ROCKSHOWSKOLOTOI	The Scythian			"На рок-концерте мы заметили чувака-скелета, одного из тех, что видели раньше. Тут он отрывался под неистовые ритмы."										
INFO_ROCKSHOWJIM	The Scythian			"Гвоздём программы был никто иной, как таинственный музыкант, известный как Джим Гатри."			160	020.jpg	T2G03					
INFO_ROCKSHOWBOOR	The Scythian			"На рок-концерте мы заметили Косолапого Хама, который размахивал своими причиндалами."			121	021.jpg	E2G15					
INFO_ROCKSHOWCROWD	The Scythian			На рок-концерте присутствовала огромная толпа мужчин и женщин.										
INFO_ROCKSHOWARCHETYPE	The Scythian			"На рок-концерте мы заметили человека, известного как Архетип, и нам оставалось лишь гадать, как он связан со всем этим."										
INFO_TRIGONGROVESKULLSTICK	The Scythian			"Устрашающий шест, увенчанный рогатым черепом как-то связывает это место с бессмертным фантомом, что прячется в глубинах Минги Тау."										
GRAVE_TRIGONGROVE	The Scythian			"В Треугольной роще, что по ту сторону глубокой пещеры на лугу, мы заметили одинокую могилу, и нам стало слегка интересно."										
GRAVE_TRIGONGROVEGHOST	The Scythian			"В Треугольной роще, что за глубокой пещерой на лугу, мы подошли к одинокой могиле, и встретили там светящегося призрачного чувака."										
				"Светящийся призрачный чувак из Треугольной рощи сначала очень напугал нас, честно говоря."			96	022.jpg	T2B2H					
			adventureUI/megatomeItem	"Он узнал наш скифский прикид и увидел, что мы несём Мегатом. Он поинтересовался, понимаем ли мы тайные пометки внутри."										
				"Шёпотом он назвал нам имя бессмертного фантома, разбуженного нами во тьме глубин Минги Тау: Гоголит."			166	023.jpg	O2B39					
				"Мы знали это страшное имя из старых сказаний, и почувствовали, как кровь стынет в жилах."										
				"«До этого момента я полагал, что Гоголит смотрит на вас как на туриста»."										
			triangle/Triangle	"«Но теперь, когда вы познали Песнь Чаробейства и покорили Золотой Треугольник, он начнёт преследовать вас по пятам»."										
				"Было неясно, хочет ли он этим ободрить нас или, наоборот, запугать или ещё что."										
				Мы сказали призрачному чуваку о нашем намерении подорвать Мегатом на вершине Минги Тау и освободить Гоголита от бессмертия.										
			Archetype/trifecta	"Мы спросили его о Триедином Треугольнике и местоположении оставшихся двух Треугольников, но ответ его был досадно бестолков."										
				«Два оставшихся Треугольника существуют только во снах горцев».			43	024.jpg	8.2E+46					
				"«Вопрос об обнаружении двух оставшихся Треугольников не столько в том, где, а когда и как»."										
				"Светящийся призрачный чувак нёс, конечно, порядком бесполезную чушь."										
GRAVE_LOGBRIDGE	The Scythian			"В стороне от старой дороги, среди деревьев, мы увидели группу могил, и задумались, что же могло нас там ждать."										
GRAVE_LOGBRIDGEGHOST	The Scythian			"Мы подошли к группе могил в зарослях в стороне от старой дороги, и встретили несколько призраков, которые показались нам дружелюбными."			116	025.jpg	62B55					
				"Сияющий призрак, говоривший с нами, оказался гигантом из древних сказаний, чей прославленный лик требовал преклонения. #andre"										
			Archetype/trifecta	"«В прошлом году накануне святок я собрал отряд, и мы выдвинулись с целью восстановить Триединый Треугольник»."										
				"«Мы прослышали о вратах в бесконечность, что на вершине Минги Тау, и подумали — а клёво бы на это глянуть»."										
			triangle/Triangle	"«В общем, нам удалось покорить Золотой Треугольник и даже заценить Треугольную рощу, а затем мы начали поиски Треугольника Полнолуния»."										
				"«Поиски Треугольника Полнолуния не слишком хорошо шли... Мы совершенно пали духом, честно говоря»."										
				"«Постепенно до нас дошло значение лунных циклов и их влияние на духов, дремлющих в сумеречных мирах»."										
				"«Тогда-то мы и обосновались здесь и стали наблюдать за фазами луны, чтобы понять, когда нужно быть где, и как»."			7	026.jpg	Q2D6P					
				"«Мы умирали со скуки, выжидая, когда же сменится фаза луны»."										
				"«Ну, в итоге, мы и померли. Из-за спора, который возник между нами от скуки»."										
				"«Я не стану вдаваться в подробности, если ты не против»."										
				"«Ладно... Так случилось, что кое-кто из нашей команды оказался гнусным читером, и нам удалось поймать его за руку». "										
				"«Завязалась драка, но гнусный читер сумел сбежать по старой дороге по направлению к гибельной пропасти»."										
				"«Ну а потом мы просто зависали, не зная, что делать... И тут, внезапно, показался Гоголит... Чёрт!»."			113	027.jpg	62B75					
GRAVE_CHASM	The Scythian			"Мы обнаружили одинокую могилу на краю гибельной пропасти и задумались, что же могло нас там ждать."										
GRAVE_CHASMGHOST	The Scythian			На краю гибельной пропасти мы подошли к одинокой могиле гнусного читера и встретили там старого сияющего призрачного чувака.										
			Archetype/trifecta	«В прошлом году накануне святок Андре Гигант собрал отряд и мы выдвинулись с целью восстановить Триединый Треугольник».										
				"«Остальные парни из отряда похоронены в чаще, что в стороне от старой дороги, рядом с мостом из бревна»."										
			triangle/Triangle	"«Найти и покорить Золотой Треугольник было проще простого, однако затем мы оказались в полном тупике»."										
				"«Мы искали Треугольник Полнолуния, так что мы сели и стали смотреть на небо, ожидая, когда же сменится фаза луны»."										
				"«Это была такая тоска! Я не собирался просиживать дни, в ожидании Полнолуния»."										
				"«Я оставил этих неудачников бесцельно слоняться, а сам решил придумать, как же обойти эти лунные правила». "										
				"Старый светящийся призрачный чувак рассказал о том, как он применил чит, выйдя из S:S&S EP, а затем переставив время на своём компьютере."										
				"Призрак описал нам, как неприятен был этот процесс, но так он смог повлиять на фазу луны!"										
				"«Но правда в том, что с тех пор, как я применил чит, меня всерьёз стала мучить нервная дрожь, от этого я и умер — от стыда»."										
GRAVE_HOLLOW	The Scythian			Внутри гигантского древа с расщелиной мы обнаружили одинокую могилу и слегка заинтересовались ею.										
GRAVE_HOLLOWGHOST	The Scythian			"Внутри гигантского древа мы подошли к одинокой могиле, и оттуда появился крутой призрак, чтобы напеть нам эти безумные строчки."			117	028.jpg	E2A80					
				"«Следи за ликами луны и ты узнаешь, когда быть где, и как»."										
				«А также будь уверен — я не хотел пугать своим шикарным видом».										
GRAVE_HOLLOWGHOSTSPRITES	The Scythian			"Внутри гигантского древа мы подошли к одинокой могиле, и там появился крутой призрак, чтобы напеть нам эти безумные строчки."			117	028.jpg	E2A80					
				"«На том пути, что пройден, взыщи ты духов леса, открой глаза и уши, звенящие источники отыщешь ты тогда.»"										
				"«Отправь всех пятерых на небо, чтоб чудо сотворить и Треугольник приманить»."										
GRAVE_HOLLOWGHOSTTRIGON	The Scythian			"Внутри гигантского древа мы подошли к одинокой могиле, из неё вышел крутой призрак и кое-что сказал нам."			117	028.jpg	E2A80					
				"«Ожидай сигнала от духов леса, а затем спой в том месте Песнь Чаробейства, чтобы проявить скрытый Треугольник.»"										
GRAVE_HOLLOWGHOSTTRIGONCOMPLETE	The Scythian			"Внутри гигантского древа мы подошли к одинокой могиле, из неё вышел крутой призрак и кое-что сказал нам."			117	028.jpg	E2A80					
				"«Ну вот, Песнь Треугольника теперь окончена. Услышу ли я её ещё раз когда-нибудь?»."										
LOGFELLA_LOSTKEY	The Scythian			"Печальный лесник, по прозвищу Дровосек, был чем-то крайне взволнован."										
			AdventureUI/keyItem	"Видимо, Дровосек потерял свой ключ, которым запирал дверь в каменной стене, преграждающей доступ к старой дороге, ведущей к Минги Тау."										
				И тут мы заворчали — снова «быть на побегушках»?										
				"Дровосек сказал нам, что сидел прямо тут, у огня, когда погрузился в глубокий сон."										
			AdventureUI/keyItem	"Дровосек сказал, что думает, что потерял ключ в сумеречном мире сновидений."										
				"Мы слышали о странных сновидениях, переживаемых темноволосыми горцами Кавказа. Так что в этом был смысл."										
				"Дровосек пригласил нас посидеть рядом у огня, согреть ноги и погрузиться в мир грёз вместе с ним."			63	029.jpg	U2C92					
ARCHETYPE_LOSTKEYTHOUGHTS	The Archetype			Мы думаем о бодрствовании и мифопоэтической психокосмологии снов как об обособленных состояниях.										
				Тем не менее они могут взаимодействовать между собой причудливым образом.										
				"Граница лиминальности — это пространство между бодрствованием и сном. Место, где не может быть сознательно направленной мысли."			56	030.jpg	13A0A					
				"Разыщите тёплый очаг, позвольте сну поглотить вас и познайте границу лиминальности."										
ARCHETYPE_LOSTKEYCLUE	The Archetype		AdventureUI/keyItem	"Как насчёт того, чтобы присесть у очага в хижине, пересечь границу лиминальности и найти там ключ, который потерял Дровосек?"			55	031.jpg	23C1X					
GIRL_LOSTKEYTHOUGHTS	Girl	AdventureUI/tweetIconGourd		"Ох, Дровосек чем-то крайне обеспокоен... Что же такого стряслось? Лучше мне на время удалиться и оставить его одного."										
				"Я застала Скифку за Песней Чаробейства, с помощью которой она отправила трёх лесных духов в небо. Помогут ли они рассеять бурю?"										
LOGFELLA_MORELOSTKEYTHOUGHTS	Logfella			"Хочу надеяться, что Скифке, бродящей по снам, удастся отыскать мой потерянный ключ... Я выронил его на песчаном берегу у тихого озера."			62	032.jpg	U3A20					
LOGFELLA_LOSTKEYTHOUGHTS	Logfella			"О, горе! Как бы я хотел, чтобы дождь прекратился... чтоб обувь моя была сухой... и я мог бы вернуться к рубке дров."										
				"Вот чёрт! Куда же делся этот ключ!? Мне так грустно и стыдно, и я теперь места себе не нахожу!"										
LOGFELLA_FOUNDKEY	The Scythian		AdventureUI/keyItem	"Лесник вздохнул с облегчением, когда узнал, что нам удалось найти его ключ, потерянный в сумеречном мире сновидений."										
				"Лесник, известный как Дровосек, поинтересовался, как мы достигли таких высот и спросил о нашем печальном предназначении."										
				"Мы рассказали леснику о том, как мы росли в степях Скифии в окружении бесстрашных братьев и сестёр."										
				Мы рассказали Дровосеку зачем мы бродим по этим диким горам и как нас направляла рука всевидящего Бога.										
			adventureUI/megatomeItem	"Мы рассказали Дровосеку о наших подозрениях насчёт того, что могут означать тайные пометки внутри Мегатома."										
			gourd/gourd	"У нас было подозрение, что нужно вызвать ещё несколько лесных духов, и тогда буря прекратится."			104	033.jpg	W3D3G					
			triangle/Triangle	"Тихим шёпотом мы поделились нашим намерением найти и покорить Золотой Треугольник, олицетворяющий космическую геометрию."										
				"Было на 100% очевидно, что лесник, по кличке Дровосек, уже не слушал нас."										
			AdventureUI/keyItem	"Мы смекнули, что можем просто взять ключ и пойти прогуляться по старой дороге, что за пределами каменной стены."										
LOGFELLA_FOUNDKEYWAKEUP	The Scythian		AdventureUI/keyItem	"Мы поинтересовались у лесника, можно ли нам взять его ключ, и он был совсем не против."										
GIRL_FOUNDKEY	The Scythian			У дороги мы встретили темноволосую девушку. Она промокла до нитки.										
			gourd/gourd	"Она слышала, как тихонько звенели пузырьки лесных духов. Звуки исходили из-за каменной стены, там, где пролегала старая дорога к Минги Тау."										
			gourd/gourd	"Она говорила о деревьях, возвышающихся по обеим сторонам могучей реки."										
			gourd/gourd	Она говорила о бледной радуге на краю гибельной пропасти...										
			adventureUI/megatomeItem	"...а затем она сглотнула и дрожащим голосом посоветовала обращаться к Мегатому, в случае, если мы потеряемся или запутаемся."										
LOGFELLA_FOUNDKEYTHOUGHTS	Logfella			"Я совсем не против того, что ключ будет у Скифки, если же это ей поможет успокоить бурю."										
				"Должно быть, я задремал, когда Скифка рассказывала свою супер эпическую историю. У меня терпения не хватает слушать подобное."										
				Я ведь ясно спросил о её печальном предназначении... а она начала болтать про степи и Божьи указания.										
GIRL_FOUNDKEYTHOUGHTS	Girl			Ещё одного-двух духов отправить в небо — и нескончаемая буря утихнет... и тогда придёт время чудес! #miracles			129	034.jpg	33A44					
GIRL_SUPERMOTHERTREE	Girl			"В моих снах, когда луна светит ярче всего, всегда стоит такая звенящая тишина... а когда луна во тьме, лес будто сходит с ума."										
				"В своих снах я всегда хожу по одним и тем же местам, но они слегка меняются под воздействием фазы луны."										
				"С тех пор как буря утихла, я каждую ночь вижу один и тот же сон, в котором я брожу по лесу за час до рассвета."										
ARCHETYPE_TREEHINT	The Archetype			"Помните, что употребление лесных грибов может дать косвенное озарение по поводу криптозоологических феноменов и всякого такого."										
				Ищите звенящие пузырьки лесных духов и исследуйте окружающую их обстановку.										
