id	user	icon	portrait	English	Japanese	JPN notes	French	Italian	German	Spanish	Craig's Notes	FIGS Notes/Questions	Final Notes	ENG Character Count
INFO_CROSSRIDGE	The Scythian			On the jagged ridge leading to the summit of Mingi Taw a lonely grave stood as a grim reminder of how many folks had died up here.	ミンギ・トウの頂上へと続く険しい山道に、;~寂しげな墓があった。;~死者の数を誇るかのようにも見えた。		Sur la crête dentelée menant au sommet de Mingi Taw, une tombe solitaire était le seul témoin de nombreuses morts sinistres en ces lieux.	Sull'aspro crinale che conduceva alla cima del Mingi Taw giaceva una tomba solitaria come lugubre memento.	Auf dem zerklüfteten Bergkamm von Mingi Taw stand ein einsames Grab, als Erinnerung an alle, die hier gestorben waren.	En el risco amenazante que llevaba a la cima de Mingi Tau se erigía una tumba solitaria como recordatorio lúgubre de todos los que habían muerto allí.				130
INFO_MEGATOMESTUCK	The Scythian		adventureUI/megatomeItem	We found The Megatome clasped in two bone hands & we felt our sword stir in its sheathe. #megatome	ついに「絶世の大書」を見つけた。;~だが骨の手が掴んでいて取れない。;~剣が…鞘の中で震えた…？ #絶世		Nous avons trouvé le Mégatome jalousement gardé par deux mains osseuses & notre épée brûlait de jaillir hors de son fourreau. #mégatome	Abbiamo trovato il Megatomo avvinghiato da due mani scheletriche e sentito la spada fremere nel fodero. #megatome	Wir fanden den Megawälzer in zwei Knochenhänden & spürten unser Schwert in seiner Scheide rumoren. #megatome	Encontramos el Megatomo aferrado entre dos manos huesudas y sentimos que la espada se agitaba en la vaina. #megatome				98
DOOR_SIDEBMEADOW	The Scythian			A small door with no handle made from an unknown material. A sign says 'Authorized Personnel Only'.	見たこともない素材でできた、;取っ手の~ない扉だ。;「関係者以外立ち入り禁止」と~書いてある。		Une petite porte sans poignée faite d'une matière inconnue. Un panneau indique "Personnel autorisé uniquement."	Una piccola porta senza maniglia fatta di un materiale sconosciuto. Un cartello dice "Solo personale autorizzato".	Eine kleine Tür aus unbekanntem Metall, ohne Griff. Ein Zeichen, auf dem steht 'Nicht für Unbefugte'.	Una puerta pequeña sin picaporte hecha de un material desconocido. El letrero dice «Solo personal autorizado».		IT: Can we use straight double quotes without messing up the code? MR - Should not be an issue but we'll have to see it in game to be sure, I presume this is simp[ly the grammatically correct way? Is there a problem with single quotes? Just curious.  IT: We only use " " in Italian except when you have a quote inside a quote " ' ' ". It just looks more idiomatic. Maybe because we use a lot of apostrophes.		99
DOOR_UPSLOPEWOODS1	The Scythian			The old road to Mingi Taw was blocked by a locked door.	ミンギ・トウの古道に続く扉には;鍵が~かかっている。		 La vieille route vers Mingi Taw était bloquée par une porte verrouillée.	L'antica via fino al Mingi Taw era bloccata da una porta chiusa a chiave.	Die Straße nach Mingi Taw wurde von einer versperrten Tür blockiert.	Una puerta cerrada impedía el acceso al camino viejo hacia Mingi Tau.				55
DOOR_UPSLOPEWOODS3	The Scythian			A locked door hid in the forest underbrush below the old road that leads up to Mingi Taw. #moongrotto	ミンギ・トウ行きの古道から下に伸びた~脇道を;進むと、うっそうとした茂った低木の~奥に;開かない扉があった。 #月の洞穴		Une porte verrouillée était dissimulée au fin fond de la forêt dense, en aval de la vieille route qui menait à Mingi Taw. #moongrotto	Nascosta dal sottobosco dell'antica via che porta al Mingi Taw si trovava una porta chiusa a chiave. #moongrotto	Eine versperrte Tür verborgen im Unterholz auf der Straße nach Mingi Taw. #moongrotto	Una puerta cerrada oculta en los matorrales del bosque bajo el camino viejo que lleva hacia Mingi Tau. #moongrotto		ES: Most strings are in past tense. Is the present tense intentional here? MR - Believe it's simply worded as a description, I don't think there is a special significane 		101
LOGFELLA_AVATAR			AdventureUI/dudeLogfellaIdle1											0
LOGFELLA_INTRO_ADV	Logfella	AdventureUI/tweetIconBabelBook		The wood-chopping woodsman chopped wood. #obviously #woodchopping	一人の木こりがしきりに;薪木をパッキリ~割っている。 #薪割り		Le bûcheron bûchait dur pour scier des bûches de bois.#obviously #woodchopping	Il taglialegna stava tagliando della legna. #obviously #woodchopping	Der holzhackende Holzhacker hackte Holz. #obviously #woodchopping	El leñador cortaba los leños y hacía leña. #obviously #woodchopping				65
				To the mountain folk of The Caucasus he was known as 'Logfella' & he seemed cool.	コーカサス地方の山の民は、;彼を「丸太さん」~と呼ぶ。;結構いい人そうだ。		Pour les montagnards du Caucasus, il était connu sous le nom de "Logfella" et il semblait tranquille. 	Tra i montanari del Caucaso era conosciuto come "Logfella" e sembrava un tipo a posto.	Den Berglern des Kaukasus war er bekannt als 'Logfella' & er machte einen coolen Eindruck.	Los montañeses del Cáucaso lo llamaban Troncales y parecía buena onda.		ES: I believe we should localize "Logfella". It's a name with semantic content and thus part of the localization process. MR - That could work though it would presumably also break the rhyming with Dogfella.   ES: No worries, we'll find something to keep the rhyme. That's our job!		81
				Logfella knew all about our woeful errand & he agreed to lead us up the old road.	丸太さんは私の果たすべき使命を;すべて~把握しており、;古道の案内を引き受けて~くれた。		Logfella savait tout de notre quête tragique et il accepta de nous guider le long de la vieille route.	Logfella sapeva della nostra sventurata spedizione e acconsentì a condurci fino all'antica via.	Logfella wusste von unserer bedauerlichen Aufgabe & wollte uns zur alten Straße führen.	Troncales sabía todo sobre nuestra odisea infortunada y aceptó guiarnos por el camino viejo.				81
				Still we definitely got the feeling that he wasn't super jazzed about this.	…明らかにノリノリではない感じだったが。		Mais nous avions l'impression qu'il n'était pas enchanté par l'idée.	Anche se avevamo avuto l'impressione che non morisse dalla voglia.	Trotzdem hatten wir den Eindruck, dass er nicht sehr begeistert darüber war.	Pero tuvimos la sensación de que no le hacía ninguna gracia.				75
LOGFELLA_TADPOL_WAITING	Logfella	AdventureUI/tweetIconBabelBook		The woodsman waited for us to continue along the path to the start of the old road.	丸太さんは古道を案内するために;待っていて~くれた。		Le bûcheron attendait que nous continuions notre périple au début de la vieille route. 	Il taglialegna ci aspettava per continuare il cammino fino al principio dell'antica via.	Der Holzhacker wartete, dass wir den Weg zum Anfang der alten Straße beschritten.	El leñador nos esperaba para seguir por el sendero hacia donde comenzaba el camino viejo.				83
LOGFELLA_INTRO_CHASM	The Scythian	AdventureUI/tweetIconBabelBook		We had bridged the chasm & we felt super smart.	崖に橋がかかった…これってやらかした系？		Nous avions comblé l'abîme & nous nous sentions très malins. 	L'abisso era colmato e ci sentimmo particolarmente furbi.	Wir hatten den Abgrund überquert & fühlten uns super-schlau.	Habíamos cruzado el abismo y nos sentíamos muy inteligentes.				47
			adventureUI/megatomeItem	We told Logfella that we sought a burdensome book of sinister sworcery known as The Megatome.	私は丸太さんに、邪悪な呪術が宿る;~「絶世の大書」を取りに来たのだと伝えた。		Nous avons raconté à Logfella que nous étions à la recherche du Mégatome, un sombre grimoire de sworcery. 	Abbiamo raccontato a Logfella che eravamo alla ricerca del Megatomo, un volume gravoso di sworcery sinistra.	Wir sagten Logfella, dass wir das lästige Buch düsterer Sworcery namens Megawälzer suchten.	Le contamos a Troncales que buscábamos un libro abrumador de rechicería siniestra llamado el Megatomo.		IT: just double-checking here, is sworcery a mix of "sword" and "sorcery"?  MR - Not exactly, it's unique to the game and basically does mean a type of Sorcery. Likely best to keep it spelled as is? IT: I think keeping as it is is fine in this particular case. Are there any other words that mean something (e.g. Grizzled Boor) that you definitely want to keep in English? MR - Working on a list, I think most of the names on the NOTES tab may remain the same, as will Mingi Taw, etc		93
			adventureUI/megatomeItem	The Megatome lurked somewhere in the haunted darkness beyond The Perilous Precipice beneath Mingi Taw.	絶世の大書は危難の崖の向こう側にある;~ミンギ・トウのさらに奥、;忌まわしき~暗闇の中にあるという。		Le Mégatome se trouvait quelque part dans les ténèbres maudites du Périlleux Précipice sous Mingi Taw.	Il Megatomo si trovava da qualche parte nell'oscurità dannata oltre il Precipizio Periglioso sotto il Mingi Taw.	Der Megawälzer lauerte irgendwo in der spukigen Dunkelheit jenseits des Vorsprungs unter Mingi Taw.	El Megatomo acechaba en algún rincón de la oscuridad más allá del Precipicio Peligroso debajo de Mingi Tau.				102
			adventureUI/megatomeItem	We resolved to go get The Megatome & then get out alive.	何としても絶世の大書を手に入れ、;生きて~戻ってくる。;そう決心した。		Nous étions déterminés à récupérer le Mégatome et à quitter les lieux en vie.	Decidemmo di andare a prendere il Megatomo e uscirne vivi.	Wir beschlossen, den Megawälzer zu holen & lebendig zurückzukehren.	Decidimos ir a buscar el Megatomo y salir con vida.				56
LOGFELLA_BEFOREWALL	The Scythian		AdventureUI/keyItem	The woodsman confirmed 100% that he had the only key to the locked door in the stone wall.	丸太さんは、石壁の扉を開ける鍵を;持って~いるのは自分しかいないのだと言った。		Le bûcheron était sûr à 100 % d'avoir la seule clé ouvrant la porte verrouillée du mur de pierre.	Il taglialegna era sicuro al 100% di avere l'unica chiave per aprire la porta delle mura.	Der Holzhacker bestätigte zu 100%, dass er den einzigen Schlüssel zur Tür in der Steinwand hatte.	El leñador confirmó al 100 % que tenía la única llave de la puerta cerrada en el muro de piedra.				90
			AdventureUI/keyItem	It was a really nice-looking key.	すごくカッコイイ鍵だ。		Cette clé était vraiment belle.	Era una chiave molto bella.	Der Schlüssel sah sehr nett aus.	Era una llave muy bonita.				33
				We were totally ready to just press & hold on the path ahead to move it move it move it.	出立の準備は整った。;行き先にタップし~そのまま押し続ければ、;足はおのずと前へ前へ。		Nous étions prêt à maintenir appuyé le long du chemin devant nous pour nous déplacer. Un kilomètre à pied… 	Eravamo del tutto pronti ad affrontare il cammino davanti a noi e camminare, camminare, camminare.	Wir waren absolut bereit, den Pfad einfach anzutippen & draufzubleiben, um abzugehen.	Estábamos muy listos para mantener pulsado el sendero hacia adelante y mover el bote.				88
LOGFELLA_POSTTONGUE	The Scythian		adventureUI/megatomeItem	The woodsman known as Logfella was just going to wait here for us to return with The Megatome.	丸太さんは私が絶世の大書を手に入れて;~戻るまでここで待つという。		Le bûcheron du nom de Logfella avait décidé d'attendre simplement notre retour avec le Mégatome. 	Il taglialegna conosciuto come Logfella sarebbe rimasto qui ad aspettare il nostro ritorno con il Megatomo.	Der Holzhacker namens Logfella wollte hier auf unsere Rückkehr mit dem Megawälzer warten.	El leñador al que llamaban Troncales solo iba a esperarnos ahí hasta que regresáramos con el Megatomo.				94
LOGFELLA_HINT_SITTINGDOWN	The Scythian	AdventureUI/tweetIconBabelBook		The woodsman known as Logfella had chosen to chill out beneath a stone shelter near The Perilous Precipice.	丸太さんは私が戻るまで、;~危難の崖近くで待つという。		Le bûcheron nommé Logfella avait décidé de se la couler douce sous un refuge en pierre près du Périlleux Précipice.	Il taglialegna conosciuto come Logfella aveva deciso di rilassarsi al riparo delle rocce di fianco al Precipizio Periglioso.	Der Holzhacker namens Logfella hatte beschlossen, in einem Unterschlupf in der Nähe des Vorsprungs zu relaxen.	El leñador al que llamaban Troncales había decidido descansar bajo un refugio de piedra cerca del Precipicio Peligroso.		ES: Is this an human built shelter or a stone that acts as one? MR - Hmm not sure this came up but probably built, here is what it looks like https://steamuserimages-a.akamaihd.net/ugc/858352673838717241/A840FB898DAEEB831CEC9D97BDC0D0E0ED6D78EA/		107
				Logfella seemed to know all about the loathsome rainbow & the nearby glyph depicting the skyward sword.	丸太さんは、石碑に刻まれた忌まわしき;虹と~空を向いた剣のことを知っている様子だ。		Logfella avait l'air de tout savoir sur cet horrible arc-en-ciel et sur le glyphe en forme d'épée dressée en l'air.	A quanto pare Logfella sapeva tutto sul ributtante arcobaleno e il geroglifico raffigurante la spada puntata in alto.	Logfella schien alles über den widerlichen Regenbogen & die Glyphe mit dem himmelsgerichteten Schwert zu wissen.	Parecía que Troncales sabía todo sobre el arcoíris detestable y el glifo cercano que representaba la espada apuntada al cielo.				103
				And yet Logfella offered zero help about what to do next, which kinda rubbed us the wrong way if we're being totally honest.	だが丸太さんは見て見ぬふりを決め込んで~いる。;これから何をすればいいのだろうか？;~顔には出さなかったがイラッときていた。		Et pourtant, Logfella n'avait jamais proposé son aide pour la suite, ce qui nous a un peu énervés, à vrai dire.	Eppure Logfella non si è sognato neanche di darci una mano a proseguire, cosa che ci ha seccato non poco, a essere sinceri.	Und trotzdem bot er keinerlei Hilfe an, was nun zu tun sei. Das hat uns ziemlich angenervt, wenn wir ehrlich sein sollen.	Sin embargo, Troncales no nos dijo un cuerno sobre qué teníamos que hacer después, lo que a decir verdad nos fastidió bastante.				124
LOGFELLA_WOLF_HINT	The Scythian	AdventureUI/tweetIconBabelBook		The woodsman had seen some kind of creepy monster thing & he figured he'd just let us handle it.	彼は恐ろしい怪物をみてしまったから、;~そいつの相手を私にさせようという;魂胆~なのだろう。		Le bûcheron avait aperçu une espèce de monstre étrange et s'était dit qu'il allait nous laisser nous en occuper.	Il taglialegna aveva visto una specie di mostro spaventoso e aveva deciso di lasciar fare a noi.	Der Holzhacker hatte ein gruseliges Monster gesehen & beschlossen, wir könnten uns darum kümmern.	El leñador había visto una especie de monstruo extraño y decidió que nosotros nos encargaríamos de eso.				96
LOGFELLA_DOWNSLOPE	The Scythian		adventureUI/megatomeItem	We had retrieved The Megatome & Logfella was 100% ready to move it move it to the safety of his lodgings.	絶世の大書を回収してきた。;丸太さんは~ナルハヤで;安全な山小屋まで帰りたいのか、~;はやる気持ちが足の歩みに出ていた。		Nous avions récupéré le Mégatome et Logfella était prêt à 100 % à bouger pour regagner la quiétude de sa demeure.	Avevamo recuperato il Megatomo e Logfella era pronto al 100% a tornare nella sicurezza della sua dimora.	Wir hatten den Megawälzer & Logfella war 100% bereit, wieder in die Sicherheit seines Hauses zurückzukehren.	Habíamos recuperado el Megatomo y Troncales estaba 100 % listo para mover el bote hacia la seguridad de su casa.				105
				We sensed a gathering thunderstorm & yet a little song began in our heart.	激しい雷雨が訪れる気配がした。;その瞬間、~心の中でかすかに歌が響き始めた。		Nous pouvions sentir qu'une tempête se préparait, et pourtant une petite chanson résonnait dans nos cœurs. 	Sentivamo incombere un temporale, ma nei nostri cuori risuonava un motivetto.	Wir spürten ein Gewitter aufziehen & trotzdem entsprang unserem Herzen ein kleines Lied.	Percibimos la tormenta que se avecinaba y aun así teníamos el corazón contento.				74
LOGFELLA_CABINMEGATOME	The Scythian	AdventureUI/tweetIconBabelBook		In the light of the gathering storm Logfella admitted he had a serious case of the heebie jeebies right about now.	雷鳴が轟きだすと、丸太さんは;何やら~ひとかたならぬ恐怖を感じていると;~私に告げた。		À la lueur des éclairs menaçant de tomber, Logfella nous avoua qu'il avait vraiment les chocottes.	Alla luce del temporale incombente, Logfella ammise che se la stava facendo proprio addosso.	In Anbetracht des Gewitters gestand Logfella ein, dass er ziemlich genau jetzt ernsthafte Gänsehaut hatte.	Ante la tormenta que se avecinaba, Troncales admitió que un caso grave de mieditis.				114
				Was Logfella intentionally freaking us out? #yes #no #maybe	丸太さんは私をビビらせたかったのだろうか？ #たぶん		Logfella voulait-il vraiment nous faire peur ? #yes #no #maybe	Logfella stava cercando di spaventarci di proposito? #yes #no #maybe	Wollte Logfella uns absichtlich verrückt machen? #yes #no #maybe	¿Troncales trataba de asustarnos a propósito? #yes #no #maybe				59
				In any case it was probably totally safe to just take shelter for a bit.	何にしても、しばらくは;屋根のある所に~いたほうが良さそうだ。		En tous cas, il valait probablement mieux trouver refuge jusqu'à la fin de la tempête.	In ogni caso, mettersi al riparo per un po' non avrebbe di certo guastato.	Auf jeden Fall wäre es vermutlich sicherer, erst mal nach drinnen zu gehen.	Como fuera, casi sin duda era buena idea refugiarse un rato.				72
QUESTCOMPLETE_MEGATOME			adventureUI/megatomeItem	We got The Megatome & we are the smartest. #gotmegatome	絶世の大書を手に入れた。;「何コレ、スゴイ」~とつぶやいてみる。 #絶世の大書入手		Nous avons le Mégatome et nous sommes les plus malins. #gotmegatome	Abbiamo preso il Megatomo e siamo i più furbi. #gotmegatome	Wir hatten den Megawälzer & waren megaschlau. #gotmegatome	Conseguimos el Megatomo y somos los más inteligentes. #gotmegatome				55
GIRL_AVATAR			AdventureUI/dudeDaughterIdle1											0
ARCHETYPE_AVATAR			AdventureUI/dudeArchetypeIdle1											0
ARCHETYPE_TUTORIAL	The Archetype	AdventureUI/tweetIconInfo												0
	The Archetype			Ladies & the gentlemen, how's about you press these two little sylvan sprites so I can get a feel for your stereo sound system?	紳士淑女の皆様ごきげんよう。;~まずは、ステレオの調子を;確認して~おきましょう。左右に漂う;小さな森の精を~タップしてもらえますか？		Mesdames et messieurs, pourquoi ne pas toucher ces deux esprits sylvestres pour en savoir plus sur votre système stéréo ?	Signore e signori, vi dispiacerebbe dare un colpetto a questi due spiritelli silvani così posso farmi un'idea del vostro impianto audio?	Ladys & Gentlemen, seid so freundlich, diese zwei kleinen Waldkobolde anzutippen, damit ich mir euer Stereo-Soundsystem ansehen kann.	Damas y caballeros, ¿por qué no tocan estos dos duendecillos silvanos para que tenga una idea del sistema de sonido estéreo que usan?				127
	The Archetype			Since our prior experiment in 2011, social networks have proven to be catastrophic for society.	なお２０１１年から行われた社会実験の結果…;ソーシャルネットワーク機能は、人々の心に;破滅的な結果をもたらすことが判明しました。	[2018/9/26 ytk] "判" is garbled.  [2018.9.27] ytk] fix confirmed.	Suite à notre expérience de 2011, les médias sociaux se sont avérés catastrophiques pour la société.	Dal nostro primo esperimento nel 2011, le reti di supporto sociale si sono rivelate catastrofiche per la società.	Seit unseren vorherigen Experimenten 2011 haben sich soziale Netzwerke als katastrophal für die Gesellschaft herausgestellt.	Desde el experimento anterior en 2011, se comprobó que las redes sociales son catastróficas para la sociedad.	Since our prior experiment in 2011, social networks have proven to be catastrophic for society.	Updated AUG 30 MR - Maybe we should just cut this, this particular instane is the last thing the archetype says in the intro to session III? Also Japanese version needs to be split into two strings.		95
				This time we encourage isolation & regretful reflection.	今後は孤独と内省を胸に、お楽しみください。		Nous encourageons l'isolement et une réflexion pleine de regrets. 	Ora incoraggiamo l'isolamento e una riflessione rammaricata!	Dieses Mal raten wir zu Isolation & bedauerlicher Reflektion.	Esta vez recomendamos el aislamiento y la reflexión arrepentida.	This time we encourage isolation & regretful reflection.	Same goes for this		56
